-0.6,0,-2.6779,9.999,9.9998
-0.54355,0.012856,-2.6776,9.9934,9.9998
-0.48715,0.025699,-2.6764,6.8865,9.9997
-0.43576,0.036188,-2.4944,9.9981,9.9996
-0.38009,0.043472,-2.4924,7.959,9.9996
-0.32806,0.049701,-2.3714,8.0349,9.9994
-0.27708,0.052797,-2.2543,6.8468,9.999
-0.22973,0.053018,-2.0677,6.8278,9.9981
-0.18538,0.049298,-1.8793,5.6795,9.9874
-0.14652,0.043044,-1.6243,-0.037011,3.9836
-0.12042,0.050117,-1.3851,0.53083,4.7773
-0.095777,0.054647,-1.1322,2.876,6.5968
-0.073808,0.052595,-0.90883,4.4715,7.4966
-0.056115,0.047155,-0.72497,5.5026,7.8989
-0.042605,0.040515,-0.57662,6.1563,8.0069
-0.032576,0.033902,-0.45887,6.5326,7.9311
-0.025202,0.02793,-0.36618,6.7173,7.7494
-0.019777,0.022811,-0.29345,6.7717,7.5091
-0.015756,0.018551,-0.2364,6.7368,7.2362
-0.012745,0.015066,-0.19157,6.6415,6.9465
-0.010466,0.012239,-0.15623,6.5033,6.6467
-0.0087206,0.0099576,-0.12826,6.3363,6.3416
-0.0073692,0.0081168,-0.10603,6.1488,6.0325
-0.0063119,0.0066303,-0.088267,5.9481,5.7205
-0.0054771,0.0054262,-0.073997,5.7395,5.4062
-0.0048123,0.0044463,-0.062465,5.5275,5.0897
-0.0042788,0.0036443,-0.053086,5.3164,4.7715
-0.0038476,0.0029832,-0.045403,5.11,4.452
-0.0034965,0.0024335,-0.039062,4.9127,4.1324
-0.0032085,0.0019715,-0.033789,4.7281,3.8138
-0.00297,0.0015785,-0.029373,4.5607,3.4983
-0.0027697,0.0012395,-0.02566,4.4145,3.1892
-0.0025982,0.0009422,-0.022552,4.2927,2.8912
-0.0024467,0.0006775,-0.019998,4.1978,2.6113
-0.0023071,0.000438,-0.018003,4.1299,2.3594
-0.0021715,0.00021873,-0.016609,4.0867,2.1482
-0.002032,1.7284e-05,-0.015858,4.0626,1.9921
-0.0018818,-0.00016539,-0.015728,4.0506,1.9041
-0.0017165,-0.00032404,-0.016063,4.0452,1.8924
-0.0015362,-0.00045005,-0.016569,4.0445,1.9567
-0.0013477,-0.00053325,-0.016881,4.0528,2.0892
-0.0011625,-0.00056816,-0.016718,4.0781,2.277
-0.00099251,-0.00055713,-0.015975,4.1279,2.5062
-0.00084587,-0.00050964,-0.014717,4.2068,2.7639
-0.0007251,-0.00043855,-0.013116,4.315,3.0395
-0.00062891,-0.00035577,-0.011355,4.4502,3.3253
-0.00055383,-0.00027069,-0.0095906,4.608,3.6155
-0.00049638,-0.00018937,-0.0079244,4.7845,3.9066
-0.00045239,-0.00011595,-0.006421,4.9751,4.1956
-0.0004191,-5.2195e-05,-0.0051042,5.1759,4.4809
-0.00039374,1.098e-06,-0.0039798,5.3837,4.7608
-0.00037437,4.4105e-05,-0.0030382,5.5956,5.0346
-0.00035884,7.7288e-05,-0.0022646,5.8089,5.3011
-0.00034596,0.00010167,-0.0016387,6.0215,5.5596
-0.00033465,0.00011834,-0.0011406,6.2317,5.8093
-0.0003241,0.00012847,-0.00075072,6.4379,6.0499
-0.00031332,0.00013308,-0.00045101,6.6384,6.2802
-0.00030253,0.00013343,-0.00022511,6.8324,6.5002
-0.00029113,0.00013039,-5.8824e-05,7.0187,6.7092
-0.00027891,0.00012483,6.0108e-05,7.1964,6.9068
-0.00026575,0.00011746,0.00014203,7.3647,7.0924
-0.0002516,0.0001089,0.00019549,7.5228,7.2657
-0.00023646,9.9652e-05,0.00022763,7.6702,7.4262
-0.00022035,9.0106e-05,0.00024398,7.8062,7.5738
-0.00020333,8.0574e-05,0.0002489,7.9304,7.7079
-0.00018545,7.1293e-05,0.00024589,8.0423,7.8284
-0.0001668,6.2432e-05,0.00023773,8.1416,7.935
-0.00014746,5.4111e-05,0.00022634,8.2279,8.0274
-0.00012751,4.6408e-05,0.0002133,8.301,8.1055
-0.00010703,3.9368e-05,0.00019966,8.3606,8.1691
-8.6103e-05,3.3013e-05,0.00018616,8.4062,8.2177
-6.5763e-05,2.7367e-05,0.00017389,8.4386,8.2522
-4.4212e-05,2.2366e-05,0.00016199,8.4568,8.2716
-2.2432e-05,1.8028e-05,0.00015133,8.4611,8.2762
-5.0016e-07,1.4332e-05,0.00014178,8.4514,8.2659
2.1517e-05,1.1251e-05,0.00013397,8.4277,8.2407
4.3541e-05,8.7499e-06,0.00012771,8.3902,8.2008
6.5503e-05,6.808e-06,0.00012219,8.3392,8.1465
8.8261e-05,5.4382e-06,0.00011882,8.2741,8.0769
0.00010988,4.5187e-06,0.00011683,8.1959,7.9933
0.00013123,4.066e-06,0.00011635,8.1045,7.8953
0.00015227,4.0521e-06,0.00011748,8.0003,7.7833
0.00017291,4.4483e-06,0.00012035,7.8836,7.6575
0.00019311,5.2254e-06,0.00012513,7.7549,7.5181
0.00021279,6.3523e-06,0.00013206,7.6145,7.3654
0.00023189,7.796e-06,0.00014145,7.4631,7.1998
0.00025035,9.52e-06,0.00015369,7.3012,7.0215
0.00026811,1.1483e-05,0.00016932,7.1295,6.8311
0.00028508,1.3639e-05,0.000189,6.9488,6.6288
0.00030121,1.5932e-05,0.00021359,6.7599,6.4152
0.00031642,1.8298e-05,0.00024417,6.5638,6.1906
0.00033064,2.0659e-05,0.00028208,6.3616,5.9557
0.00034381,2.2921e-05,0.00032899,6.1546,5.711
0.00035584,2.4974e-05,0.00038694,5.9442,5.4569
0.00036665,2.6682e-05,0.00045838,5.7321,5.1942
0.00037619,2.7884e-05,0.00054623,5.5202,4.9236
0.00038438,2.8386e-05,0.00065368,5.3108,4.6458
0.00039115,2.7959e-05,0.000784,5.1064,4.3618
0.00039645,2.6342e-05,0.0009396,4.9098,4.0727
0.00040025,2.3235e-05,0.0011216,4.7244,3.7799
0.00040241,1.8249e-05,0.0013262,4.5538,3.4857
0.00040325,1.1275e-05,0.0015412,4.4019,3.1928
0.00040271,2.033e-06,0.001741,4.2722,2.9055
0.00040104,-9.3375e-06,0.0018768,4.1678,2.6299
0.00039822,-2.255e-05,0.0018741,4.0904,2.3748
0.00039447,-3.6317e-05,0.0016264,4.0395,2.1521
0.00038951,-4.8581e-05,0.0010181,4.0116,1.9762
0.00038209,-5.6754e-05,-2.8325e-05,4.0009,1.862
0.00036962,-5.9247e-05,-0.0014809,4.0012,1.8215
0.00034876,-5.7055e-05,-0.0031576,4.008,1.8593
0.00031725,-5.6243e-05,-0.0047386,4.0223,1.9716
0.00027653,-6.4911e-05,-0.0059038,4.0502,2.1475
0.00023188,-8.9079e-05,-0.0064588,4.0993,2.373
0.00018993,-0.00012924,-0.0063905,4.1761,2.6342
0.00015566,-0.00018039,-0.0058324,4.283,2.9191
0.00013133,-0.00023571,-0.0049703,4.4188,3.2188
