Q_1,Q_2,Q_3,reference_xr_0,reference_yr_0,reference_thetar_0,reference_xr_1,reference_yr_1,reference_thetar_1,reference_xr_2,reference_yr_2,reference_thetar_2,reference_xr_3,reference_yr_3,reference_thetar_3,reference_xr_4,reference_yr_4,reference_thetar_4,reference_xr_5,reference_yr_5,reference_thetar_5,reference_xr_6,reference_yr_6,reference_thetar_6,reference_xr_7,reference_yr_7,reference_thetar_7,reference_xr_8,reference_yr_8,reference_thetar_8,reference_xr_9,reference_yr_9,reference_thetar_9,reference_xr_10,reference_yr_10,reference_thetar_10,x_opt_0_1,x_opt_0_2,x_opt_0_3,x_opt_1_1,x_opt_1_2,x_opt_1_3,x_opt_2_1,x_opt_2_2,x_opt_2_3,x_opt_3_1,x_opt_3_2,x_opt_3_3,x_opt_4_1,x_opt_4_2,x_opt_4_3,x_opt_5_1,x_opt_5_2,x_opt_5_3,x_opt_6_1,x_opt_6_2,x_opt_6_3,x_opt_7_1,x_opt_7_2,x_opt_7_3,x_opt_8_1,x_opt_8_2,x_opt_8_3,x_opt_9_1,x_opt_9_2,x_opt_9_3,x_opt_10_1,x_opt_10_2,x_opt_10_3,u_opt_0_1,u_opt_0_2,u_opt_1_1,u_opt_1_2,u_opt_2_1,u_opt_2_2,u_opt_3_1,u_opt_3_2,u_opt_4_1,u_opt_4_2,u_opt_5_1,u_opt_5_2,u_opt_6_1,u_opt_6_2,u_opt_7_1,u_opt_7_2,u_opt_8_1,u_opt_8_2,u_opt_9_1,u_opt_9_2
0.00274795495742922,0.0027479549574292196,0.6940894804821068,0.0,0.0,0.4636476090008061,0.005714199330917623,0.002857132059185118,0.4636612148389196,0.011427880371028912,0.005714199330917623,0.46370203710502944,0.017140524876537687,0.008571137029214004,0.46377009005842,0.02285161469766379,0.011427880371028912,0.4638653974778263,0.028560631825640465,0.014284364577724177,0.46398799268134394,0.03426705843969891,0.017140524876537687,0.4641379185543457,0.0399703769540358,0.01999629650205217,0.4643152275854419,0.04567007006475946,0.02285161469766379,0.46451998191053817,0.05136562079681057,0.02570641471705055,0.4647522533650553,0.05705651255085288,0.028560631825640465,0.46501212354438476,0.0,0.0,0.7853981633974483,0.00274795495742922,0.0027479549574292196,0.6940894804821068,0.007752692439483702,0.006913070548517119,0.6287419937048296,0.01327926859893275,0.010931939924179923,0.5820805694497542,0.018987288856380145,0.014688651520547815,0.5488791618793317,0.024816866954968136,0.01825381227807611,0.5253997653656174,0.030728527467993275,0.021681121644972406,0.5089783189850688,0.036574058301132806,0.024943033855709246,0.49772565330651447,0.042123278102133524,0.027958219260395056,0.49031885714171003,0.04712290976756822,0.030627011590462865,0.485859338156755,0.050761972407570126,0.032548731956257376,0.48377461669551813,0.11658585508760352,-2.739260487460243,0.19533567681369446,-1.9604246033183137,0.20499980388855943,-1.3998427276522665,0.2049998525607844,-0.9960422271126725,0.20499979714892602,-0.7043818954114319,0.20499941845260966,-0.49264339141645513,0.2008214923571805,-0.33757997035663195,0.18946415249857676,-0.2222038849441325,0.17002027044426637,-0.1337855695486493,0.12345933523209297,-0.06254164383710728
0.007623558401102763,0.006805600736457861,0.6284983695688761,0.005714199330917623,0.002857132059185118,0.4636612148389196,0.011427880371028912,0.005714199330917623,0.46370203710502944,0.017140524876537687,0.008571137029214004,0.46377009005842,0.02285161469766379,0.011427880371028912,0.4638653974778263,0.028560631825640465,0.014284364577724177,0.46398799268134394,0.03426705843969891,0.017140524876537687,0.4641379185543457,0.0399703769540358,0.01999629650205217,0.4643152275854419,0.04567007006475946,0.02285161469766379,0.46451998191053817,0.05136562079681057,0.02570641471705055,0.4647522533650553,0.05705651255085288,0.028560631825640465,0.46501212354438476,0.06274222915013003,0.03141420130207944,0.46529968387267046,0.00274795495742922,0.0027479549574292196,0.6940894804821068,0.007623558401102763,0.006805600736457861,0.6284983695688761,0.013151114164054505,0.010823124075359614,0.5816124986709622,0.018860893084876446,0.01457716408257157,0.5481809474782635,0.024692960768264785,0.018138254750328042,0.524440273732559,0.030607916086194186,0.02155989558797039,0.5076976079402766,0.036579249970362604,0.024881986458419204,0.49603227971475683,0.042363781454655226,0.028012353544996815,0.4880758057923549,0.047879335244555184,0.030940666093930324,0.48286932619733297,0.05286112546905815,0.0335524360074216,0.47975609160571975,0.056492976646367564,0.035442091324813685,0.47831045083241486,0.19029555535331671,-1.9677333273969215,0.20499982888296558,-1.4065761269374164,0.20499988422038057,-1.00294653578096,0.2049998589922549,-0.7122202123711338,0.20499973217404652,-0.5022799737684707,0.2049970841181979,-0.34995984676559566,0.19731700973446487,-0.23869421767205873,0.18734116791076408,-0.15619438785065684,0.16874720243540173,-0.09339703774839705,0.12282111452598353,-0.04336922319914532
0.0131444381664212,0.010818271844563132,0.5814062349932663,0.011427880371028912,0.005714199330917623,0.46370203710502944,0.017140524876537687,0.008571137029214004,0.46377009005842,0.02285161469766379,0.011427880371028912,0.4638653974778263,0.028560631825640465,0.014284364577724177,0.46398799268134394,0.03426705843969891,0.017140524876537687,0.4641379185543457,0.0399703769540358,0.01999629650205217,0.4643152275854419,0.04567007006475946,0.02285161469766379,0.46451998191053817,0.05136562079681057,0.02570641471705055,0.4647522533650553,0.05705651255085288,0.028560631825640465,0.46501212354438476,0.06274222915013003,0.03141420130207944,0.46529968387267046,0.06842225488728389,0.03426705843969891,0.46561503568001517,0.007623558401102763,0.006805600736457861,0.6284983695688761,0.0131444381664212,0.010818271844563132,0.5814062349932663,0.018854988533657715,0.01457113224191034,0.5477934105870672,0.024688434077371597,0.01812996142982654,0.5238764121520578,0.030605315329460744,0.021548265088051907,0.5069428428678716,0.03657908790072199,0.02486581084435577,0.4950508865861124,0.0424333271820001,0.028026477204722997,0.48680783452791976,0.048137299250689936,0.03104555971216348,0.48122402142506593,0.05361367131143859,0.033905143832841086,0.47760243595714913,0.058576039742840987,0.03647350320542166,0.4754597689848875,0.0621997994622352,0.03833920900578298,0.47447529565440033,0.20475223692168254,-1.412764037268292,0.20499978534830202,-1.0083847321859762,0.20499979729310866,-0.7175099530502799,0.20499964703882975,-0.5080070785255876,0.2049947846177815,-0.35675868845277736,0.19958891868942757,-0.24729156174577924,0.1936107974582362,-0.1675143930856148,0.18534045716432773,-0.10864756403750415,0.1676287961065501,-0.06428000916784876,0.12227527703368869,-0.029534199914615242
0.018854747207602825,0.014570973647214868,0.5476159541944756,0.017140524876537687,0.008571137029214004,0.46377009005842,0.02285161469766379,0.011427880371028912,0.4638653974778263,0.028560631825640465,0.014284364577724177,0.46398799268134394,0.03426705843969891,0.017140524876537687,0.4641379185543457,0.0399703769540358,0.01999629650205217,0.4643152275854419,0.04567007006475946,0.02285161469766379,0.46451998191053817,0.05136562079681057,0.02570641471705055,0.4647522533650553,0.05705651255085288,0.028560631825640465,0.46501212354438476,0.06274222915013003,0.03141420130207944,0.46529968387267046,0.06842225488728389,0.03426705843969891,0.46561503568001517,0.07409607457113035,0.03711913854798307,0.4659582902882246,0.0131444381664212,0.010818271844563132,0.5814062349932663,0.018854747207602825,0.014570973647214868,0.5476159541944756,0.024688816267344562,0.018128762761494638,0.5235500484992771,0.03060679991550573,0.02154512773641352,0.5064796261796526,0.03657679457066379,0.024856958056171566,0.49444740595937825,0.04244242170327091,0.02801920254413508,0.48604461863973336,0.048215799519959274,0.031069382645773594,0.48026474197292573,0.05387706693406907,0.0340186051126743,0.47639028059964594,0.05932925956328984,0.03683210742639039,0.4739116420391823,0.06427784210575355,0.03937021898395267,0.47246966465576246,0.06789501553564514,0.041218872104010484,0.47181852721900874,0.20499112212211426,-1.013708423963722,0.20499951867741317,-0.7219771708559577,0.20499920022180515,-0.5121126695887367,0.2048124767306322,-0.3609666066082295,0.1999120673555981,-0.2520836195893458,0.19588757250013247,-0.1733963000042308,0.1915021558729822,-0.11623384119839256,0.1840597179229436,-0.07435915681390937,0.16684553189218737,-0.04325932150259477,0.12186597466968348,-0.01953412310261253
0.024686795073277878,0.018127530177136777,0.5233946073888274,0.02285161469766379,0.011427880371028912,0.4638653974778263,0.028560631825640465,0.014284364577724177,0.46398799268134394,0.03426705843969891,0.017140524876537687,0.4641379185543457,0.0399703769540358,0.01999629650205217,0.4643152275854419,0.04567007006475946,0.02285161469766379,0.46451998191053817,0.05136562079681057,0.02570641471705055,0.4647522533650553,0.05705651255085288,0.028560631825640465,0.46501212354438476,0.06274222915013003,0.03141420130207944,0.46529968387267046,0.06842225488728389,0.03426705843969891,0.46561503568001517,0.07409607457113035,0.03711913854798307,0.4659582902882246,0.07976317357338844,0.0399703769540358,0.46632956910521595,0.018854747207602825,0.014570973647214868,0.5476159541944756,0.024686795073277878,0.018127530177136777,0.5233946073888274,0.030605102762990024,0.021542855797732487,0.5061998685789764,0.036545487088430376,0.024836086948516595,0.4940586773613119,0.042418620422704056,0.02799943214361883,0.4855513265106232,0.04822437552630696,0.031063055392222323,0.4796598979770025,0.05395991200102335,0.034046558949035494,0.4756549502302733,0.05959622535444046,0.03694982711964969,0.4730136549751466,0.06503167951980057,0.03973149138321722,0.47136063458625466,0.06996934201630187,0.042248113280883064,0.47042555145454545,0.07358061293776114,0.044084449488812134,0.4700159532196126,0.20492849726733856,-0.7266404041694479,0.20499203278255235,-0.515842164295533,0.2037650205795598,-0.3642357365299311,0.20012596829741836,-0.25522052552066304,0.19693481601574478,-0.17674285600862102,0.19395335757260523,-0.12014843240187445,0.19020329876100603,-0.07923885765380126,0.18317651665277782,-0.04959061166675759,0.16626035917996215,-0.028052493951276198,0.12154039453225322,-0.012287947047986589
0.030574270525810802,0.02152506318961991,0.5060602756499931,0.028560631825640465,0.014284364577724177,0.46398799268134394,0.03426705843969891,0.017140524876537687,0.4641379185543457,0.0399703769540358,0.01999629650205217,0.4643152275854419,0.04567007006475946,0.02285161469766379,0.46451998191053817,0.05136562079681057,0.02570641471705055,0.4647522533650553,0.05705651255085288,0.028560631825640465,0.46501212354438476,0.06274222915013003,0.03141420130207944,0.46529968387267046,0.06842225488728389,0.03426705843969891,0.46561503568001517,0.07409607457113035,0.03711913854798307,0.4659582902882246,0.07976317357338844,0.0399703769540358,0.46632956910521595,0.08542303787535818,0.04282070900404715,0.46672900372822657,0.024686795073277878,0.018127530177136777,0.5233946073888274,0.030574270525810802,0.02152506318961991,0.5060602756499931,0.036497757025341165,0.024807845597521794,0.49381084247309676,0.04238008695471783,0.027974263674557114,0.48521551490307285,0.048205962592598406,0.03104600355371392,0.4792464039231778,0.053975962550956526,0.03404440348952556,0.47516530343903923,0.059685231482466676,0.036981714753026605,0.4724413695514381,0.06530241247443537,0.03985232472063676,0.470691372785131,0.07072397415364719,0.042611010317162974,0.4696361158178708,0.07565185161992588,0.04511194856326659,0.4690687668041842,0.07925738058426901,0.046939212369643525,0.46883479049658844,0.20392409861902397,-0.5200299521650296,0.20316967633722732,-0.36748299530689005,0.2004125942972518,-0.2578598271007175,0.1975823158836017,-0.17907332939685033,0.19507683492684388,-0.12243301452415611,0.19261670299301004,-0.08171801662803378,0.1892453737728072,-0.05249990298921349,0.18249194375583092,-0.03165770901780614,0.16578540825456603,-0.01702047041059766,0.1212635927132754,-0.007019289227872447
0.0364579620893797,0.024785791336771088,0.4936826876151425,0.03426705843969891,0.017140524876537687,0.4641379185543457,0.0399703769540358,0.01999629650205217,0.4643152275854419,0.04567007006475946,0.02285161469766379,0.46451998191053817,0.05136562079681057,0.02570641471705055,0.4647522533650553,0.05705651255085288,0.028560631825640465,0.46501212354438476,0.06274222915013003,0.03141420130207944,0.46529968387267046,0.06842225488728389,0.03426705843969891,0.46561503568001517,0.07409607457113035,0.03711913854798307,0.4659582902882246,0.07976317357338844,0.0399703769540358,0.46632956910521595,0.08542303787535818,0.04282070900404715,0.46672900372822657,0.09107515411454332,0.04567007006475946,0.4671567360559787,0.030574270525810802,0.02152506318961991,0.5060602756499931,0.0364579620893797,0.024785791336771088,0.4936826876151425,0.042339885847712484,0.027951018624875017,0.48499225085125564,0.048177923554921245,0.031027505472006684,0.4789506420493522,0.05396677437143392,0.034033527191946966,0.4748113012791852,0.059708218039854856,0.036984821755911085,0.4720368579003069,0.06539599968791497,0.039888610504356665,0.47023901082236513,0.07099698023107577,0.0427354019329402,0.4691346452715088,0.07640621655520648,0.04547722338114753,0.46851342652958816,0.08132490758135982,0.04796655891014733,0.4682138287890496,0.08492470045297748,0.0497870493141845,0.4681081195157425,0.20180474974180432,-0.37132764104551846,0.2003849340538787,-0.2607131029166049,0.1979714879275009,-0.18124826405710104,0.19568409317298335,-0.12418022310501095,0.19366693961758533,-0.08323330136634864,0.19158435284346073,-0.053935412338252456,0.18848788829643728,-0.03313096652569172,0.18193317514332102,-0.018636562257617735,0.16538222851331977,-0.008987932216156087,0.12101828220052799,-0.0031712781992121707
0.04231109525858657,0.027935525605439906,0.4848733471779565,0.0399703769540358,0.01999629650205217,0.4643152275854419,0.04567007006475946,0.02285161469766379,0.46451998191053817,0.05136562079681057,0.02570641471705055,0.4647522533650553,0.05705651255085288,0.028560631825640465,0.46501212354438476,0.06274222915013003,0.03141420130207944,0.46529968387267046,0.06842225488728389,0.03426705843969891,0.46561503568001517,0.07409607457113035,0.03711913854798307,0.4659582902882246,0.07976317357338844,0.0399703769540358,0.46632956910521595,0.08542303787535818,0.04282070900404715,0.46672900372822657,0.09107515411454332,0.04567007006475946,0.4671567360559787,0.09671900963121435,0.048518395524932895,0.46761291840995944,0.0364579620893797,0.024785791336771088,0.4936826876151425,0.04231109525858657,0.027935525605439906,0.4848733471779565,0.04814961325345094,0.031011378599913233,0.47874639092735327,0.053948654502783765,0.034021188295011856,0.4745458459114596,0.05970651094413368,0.03697898752019631,0.47172734354077034,0.06542424428778872,0.039895836905725054,0.4698977444033933,0.07109388727212351,0.042775092882686834,0.46877103110822893,0.07668071368510082,0.045604377883663394,0.46813583722415814,0.0820786706291637,0.04833370875212541,0.4678310626598298,0.08698851142008956,0.05081435823017572,0.4677274097932045,0.09058249415052089,0.05262971557905742,0.46771596065487997,0.19940409843763668,-0.26428021311558114,0.19797537124089215,-0.18380868751809648,0.19600778155715126,-0.1260163504768107,0.19419407393153582,-0.08455507112067706,0.1925628116597375,-0.05488797412130991,0.19076548402585353,-0.03380139885493143,0.18787159095228512,-0.019055816522124663,0.18146202782826654,-0.009143236929849311,0.16502770247043905,-0.0031095859987609947,0.12079325624263805,-0.00034347414973508303
0.048128818393838126,0.031000423434361348,0.4786344978201134,0.04567007006475946,0.02285161469766379,0.46451998191053817,0.05136562079681057,0.02570641471705055,0.4647522533650553,0.05705651255085288,0.028560631825640465,0.46501212354438476,0.06274222915013003,0.03141420130207944,0.46529968387267046,0.06842225488728389,0.03426705843969891,0.46561503568001517,0.07409607457113035,0.03711913854798307,0.4659582902882246,0.07976317357338844,0.0399703769540358,0.46632956910521595,0.08542303787535818,0.04282070900404715,0.46672900372822657,0.09107515411454332,0.04567007006475946,0.4671567360559787,0.09671900963121435,0.048518395524932895,0.46761291840995944,0.10235409251490804,0.05136562079681057,0.4680977136650032,0.04231109525858657,0.027935525605439906,0.4848733471779565,0.048128818393838126,0.031000423434361348,0.4786344978201134,0.05392901177501778,0.03401000732519255,0.4743559327540186,0.05969563765651765,0.036970927374483945,0.4714846566696988,0.06542801708816116,0.039893495327595146,0.4696215502510766,0.07112598992556239,0.042785158923178475,0.4684770150527893,0.07678004031313353,0.04564639913351893,0.46783839187888954,0.08235417236496796,0.048462726616399394,0.46754568761355514,0.08774152557577901,0.0511827050261874,0.4674729403201845,0.09264266238192308,0.05365675404451427,0.46751368849154484,0.09623070331306145,0.05546814774411194,0.46757209100889063,0.19727024880136318,-0.18716548073529282,0.1960353402056061,-0.12835695198284347,0.1944708704046235,-0.08613828252959449,0.1930321725775108,-0.05589319255866486,0.19169181392330165,-0.034336055948617876,0.19010387474698173,-0.019158695216992424,0.18735630162848585,-0.00878112796003158,0.18105157124690788,-0.0021824188011187722,0.16470535657306928,0.0012224451408093487,0.12058053894646438,0.001752075520374853
0.053914058690253536,0.03400224852128179,0.4742494173850282,0.05136562079681057,0.02570641471705055,0.4647522533650553,0.05705651255085288,0.028560631825640465,0.46501212354438476,0.06274222915013003,0.03141420130207944,0.46529968387267046,0.06842225488728389,0.03426705843969891,0.46561503568001517,0.07409607457113035,0.03711913854798307,0.4659582902882246,0.07976317357338844,0.0399703769540358,0.46632956910521595,0.08542303787535818,0.04282070900404715,0.46672900372822657,0.09107515411454332,0.04567007006475946,0.4671567360559787,0.09671900963121435,0.048518395524932895,0.46761291840995944,0.10235409251490804,0.05136562079681057,0.4680977136650032,0.10797989165085882,0.054211681317583166,0.4686112953893618,0.048128818393838126,0.031000423434361348,0.4786344978201134,0.053914058690253536,0.03400224852128179,0.4742494173850282,0.059682325673888904,0.03696323485865733,0.47130569580245674,0.0654224420754135,0.039888453235514286,0.469396193776669,0.07113377578681379,0.04278527895473449,0.4682261035503994,0.07681496828501966,0.04565846417187092,0.46758013054478076,0.08245524750622565,0.048506384198661386,0.46729819646735815,0.08801765689758034,0.05131301800039942,0.46725704836485943,0.09339478473138359,0.05402588640672438,0.46735573895359067,0.09828721040548066,0.056494818658907146,0.4675038973656282,0.10186912791738272,0.058303076990218736,0.46761463716800156,0.19552995480427102,-0.13155241305255647,0.19451557694991992,-0.08831164747714389,0.19327507591466142,-0.057285060773631644,0.19211933481422871,-0.035102706788088994,0.19099221802020566,-0.019379190168559175,0.18955489536001438,-0.008458022322677249,0.18691129548713858,-0.0012344430749624683,0.18068160630785823,0.0029607176619375676,0.1644028889593773,0.00444475236112752,0.12037415889361602,0.0033221940712001518
