-0.6,0,-2.6779,0.6,0,3.1416,9.999,9.9998
-0.54355,0.012856,-2.6776,0.56925,6.4542e-07,3.1416,9.9934,9.9998
-0.48715,0.025699,-2.6764,0.53851,7.5846e-06,3.1412,6.8865,9.9997
-0.43576,0.036188,-2.4944,0.51269,0.0023566,2.9606,9.9981,9.9996
-0.38009,0.043472,-2.4924,0.48245,0.0078937,2.9605,7.959,9.9996
-0.32806,0.049701,-2.3714,0.45565,0.014462,2.8421,8.0349,9.9994
-0.27708,0.052797,-2.2543,0.42968,0.024133,2.7281,6.8468,9.999
-0.22973,0.053018,-2.0677,0.40704,0.036645,2.5452,6.8278,9.9981
-0.18538,0.049298,-1.8793,0.38709,0.053056,2.3613,5.6795,9.9874
-0.14652,0.043044,-1.6243,0.37225,0.071954,2.1113,-0.037011,3.9836
-0.12042,0.050117,-1.3851,0.36976,0.077473,1.8781,0.53083,4.7773
-0.095777,0.054647,-1.1322,0.36827,0.085476,1.6317,2.876,6.5968
-0.073808,0.052595,-0.90883,0.36896,0.099996,1.4158,4.4715,7.4966
-0.056115,0.047155,-0.72497,0.37337,0.11783,1.2403,5.5026,7.8989
-0.042605,0.040515,-0.57662,0.38139,0.1368,1.1013,6.1563,8.0069
-0.032576,0.033902,-0.45887,0.39227,0.15565,0.99391,6.5326,7.9311
-0.025202,0.02793,-0.36618,0.40514,0.17378,0.91277,6.7173,7.7494
-0.019777,0.022811,-0.29345,0.41926,0.19096,0.85288,6.7717,7.5091
-0.015756,0.018551,-0.2364,0.43405,0.20718,0.8101,6.7368,7.2362
-0.012745,0.015066,-0.19157,0.44909,0.22253,0.78112,6.6415,6.9465
-0.010466,0.012239,-0.15623,0.46405,0.2371,0.76342,6.5033,6.6467
-0.0087206,0.0099576,-0.12826,0.47872,0.25102,0.7551,6.3363,6.3416
-0.0073692,0.0081168,-0.10603,0.49291,0.26438,0.75479,6.1488,6.0325
-0.0063119,0.0066303,-0.088267,0.50651,0.27726,0.76155,5.9481,5.7205
-0.0054771,0.0054262,-0.073997,0.51941,0.28972,0.77475,5.7395,5.4062
-0.0048123,0.0044463,-0.062465,0.53154,0.30183,0.79409,5.5275,5.0897
-0.0042788,0.0036443,-0.053086,0.54284,0.31361,0.81949,5.3164,4.7715
-0.0038476,0.0029832,-0.045403,0.55324,0.32511,0.85111,5.11,4.452
-0.0034965,0.0024335,-0.039062,0.56272,0.33635,0.88928,4.9127,4.1324
-0.0032085,0.0019715,-0.033789,0.57123,0.34735,0.93455,4.7281,3.8138
-0.00297,0.0015785,-0.029373,0.57875,0.35811,0.9876,4.5607,3.4983
-0.0027697,0.0012395,-0.02566,0.58525,0.36866,1.0492,4.4145,3.1892
-0.0025982,0.0009422,-0.022552,0.59071,0.37899,1.1203,4.2927,2.8912
-0.0024467,0.0006775,-0.019998,0.59511,0.38912,1.2016,4.1978,2.6113
-0.0023071,0.000438,-0.018003,0.59844,0.39904,1.2937,4.1299,2.3594
-0.0021715,0.00021873,-0.016609,0.60067,0.40876,1.3964,4.0867,2.1482
-0.002032,1.7284e-05,-0.015858,0.6018,0.41828,1.5089,4.0626,1.9921
-0.0018818,-0.00016539,-0.015728,0.60182,0.42758,1.629,4.0506,1.9041
-0.0017165,-0.00032404,-0.016063,0.60072,0.43667,1.7535,4.0452,1.8924
-0.0015362,-0.00045005,-0.016569,0.5985,0.44552,1.8785,4.0445,1.9567
-0.0013477,-0.00053325,-0.016881,0.59518,0.45412,1.9996,4.0528,2.0892
-0.0011625,-0.00056816,-0.016718,0.59078,0.46246,2.1135,4.0781,2.277
-0.00099251,-0.00055713,-0.015975,0.5853,0.47055,2.218,4.1279,2.5062
-0.00084587,-0.00050964,-0.014717,0.57878,0.47839,2.3121,4.2068,2.7639
-0.0007251,-0.00043855,-0.013116,0.57122,0.48598,2.3958,4.315,3.0395
-0.00062891,-0.00035577,-0.011355,0.56264,0.49334,2.4698,4.4502,3.3253
-0.00055383,-0.00027069,-0.0095906,0.55304,0.50047,2.5351,4.608,3.6155
-0.00049638,-0.00018937,-0.0079244,0.54245,0.50737,2.5927,4.7845,3.9066
-0.00045239,-0.00011595,-0.006421,0.53088,0.51405,2.6436,4.9751,4.1956
-0.0004191,-5.2195e-05,-0.0051042,0.51834,0.52051,2.6888,5.1759,4.4809
-0.00039374,1.098e-06,-0.0039798,0.50487,0.52673,2.7292,5.3837,4.7608
-0.00037437,4.4105e-05,-0.0030382,0.49047,0.53272,2.7653,5.5956,5.0346
-0.00035884,7.7288e-05,-0.0022646,0.47517,0.53848,2.7978,5.8089,5.3011
-0.00034596,0.00010167,-0.0016387,0.45901,0.544,2.8273,6.0215,5.5596
